ts,setup,bounded_probe,probe_depth,reclaim,shape,no_lower_acceptance,aggression_failure,buyer_response,participation,spread_ok,delta_pct_rank,l1_bid_support,qualified,day,no_higher_acceptance,seller_response,l1_ask_support,signal_id,stage,passed
1710603000000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710603300000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710603300000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710603600000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710603600000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710603900000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710603900000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710604200000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710604200000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710604500000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710604500000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710604800000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710604800000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710605100000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710605100000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710605400000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710605400000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710605700000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710605700000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710606000000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710606000000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710606300000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710606300000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710606600000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710606600000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710606900000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710606900000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710607200000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710607200000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710607500000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710607500000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710607800000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710607800000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710608100000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710608100000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710608400000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710608400000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710608700000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710608700000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710609000000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710609000000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710609300000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710609300000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710609600000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710609600000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710609900000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710609900000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710610200000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710610200000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710610500000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710610500000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710610800000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710610800000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710611100000.0,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710611100000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710611400000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710611400000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710611700000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710611700000.0,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710612000000.0,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710612000000.0,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710612300000.0,VAL_REJECTION_LONG,True,103.19999999999709,False,False,True,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710612300000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710612600000.0,VAL_REJECTION_LONG,True,349.1999999999971,True,True,True,True,True,True,True,1.0,False,True,2024-03-16,,,,,,
,,,,,,,,,,,,,,2024-03-16,,,,VAL_REJECTION_LONG-1710612600000,NEXT_BAR_ENTRY,True
1710624000000.0,VAL_REJECTION_LONG,False,894.1999999999971,False,True,False,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710624000000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710624300000.0,VAL_REJECTION_LONG,False,798.8999999999942,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710624300000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710624600000.0,VAL_REJECTION_LONG,False,861.5999999999913,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710624600000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710624900000.0,VAL_REJECTION_LONG,False,999.1999999999971,False,True,False,True,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710624900000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710625200000.0,VAL_REJECTION_LONG,False,849.1999999999971,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710625200000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710625500000.0,VAL_REJECTION_LONG,False,739.8999999999942,False,False,False,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710625500000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710625800000.0,VAL_REJECTION_LONG,False,774.1999999999971,False,False,False,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710625800000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710626100000.0,VAL_REJECTION_LONG,False,799.1999999999971,False,False,False,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710626100000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710626400000.0,VAL_REJECTION_LONG,False,1097.5999999999913,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710626400000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710626700000.0,VAL_REJECTION_LONG,False,1209.199999999997,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710626700000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710627000000.0,VAL_REJECTION_LONG,False,1110.0,False,True,False,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710627000000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710627300000.0,VAL_REJECTION_LONG,False,1009.1999999999971,False,True,False,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710627300000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710627600000.0,VAL_REJECTION_LONG,False,727.8000000000029,False,True,False,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710627600000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710627900000.0,VAL_REJECTION_LONG,False,687.8000000000029,False,True,False,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710627900000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710628200000.0,VAL_REJECTION_LONG,False,547.1999999999971,False,True,False,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710628200000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710628500000.0,VAL_REJECTION_LONG,False,465.3000000000029,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710628500000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710628800000.0,VAL_REJECTION_LONG,False,463.8999999999942,False,False,False,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710628800000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710629100000.0,VAL_REJECTION_LONG,False,518.0999999999913,False,False,False,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710629100000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710629400000.0,VAL_REJECTION_LONG,False,771.3000000000029,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710629400000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710629700000.0,VAL_REJECTION_LONG,False,762.5,False,True,False,True,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710629700000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710630000000.0,VAL_REJECTION_LONG,False,836.6999999999971,False,False,False,False,True,False,True,1.0,False,False,2024-03-16,,,,,,
1710630000000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-16,True,True,False,,,
1710630300000.0,VAL_REJECTION_LONG,False,1092.0999999999913,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
1710630300000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-16,True,True,False,,,
1710630600000.0,VAL_REJECTION_LONG,False,1842.7999999999956,False,False,False,False,True,True,True,1.0,False,False,2024-03-16,,,,,,
