exp,day,legs,pnl,wins
D4,2024-03-24,0,0.0,0
D4,2024-03-25,0,0.0,0
D4,2024-03-26,0,0.0,0
D4,2024-03-27,1,-178.6218735901843,0
D4,2024-03-28,3,3482.07168161871,3
D5,2024-03-11,0,0.0,0
D5,2024-03-12,1,185.35637934519312,1
D5,2024-03-13,0,0.0,0
D5,2024-03-14,1,-473.084534623331,0
D5,2024-03-15,1,795.5867248410563,1
D5,2024-03-16,1,-72.44209995802582,0
D5,2024-03-17,0,0.0,0
D5,2024-03-18,0,0.0,0
D5,2024-03-19,0,0.0,0
D5,2024-03-20,0,0.0,0
D5,2024-03-21,0,0.0,0
D5,2024-03-22,1,-249.28119165469457,0
D5,2024-03-23,0,0.0,0
D5,2024-03-24,0,0.0,0
D5,2024-03-25,0,0.0,0
D5,2024-03-26,0,0.0,0
D5,2024-03-27,1,-178.6218735901843,0
D5,2024-03-28,3,3482.07168161871,3
E1,2024-03-11,0,0.0,0
E1,2024-03-12,1,185.35637934519312,1
E1,2024-03-13,0,0.0,0
E1,2024-03-14,1,-638.8772810230515,0
E1,2024-03-15,1,795.5867248410563,1
E1,2024-03-16,1,-72.44209995802582,0
E1,2024-03-17,0,0.0,0
E1,2024-03-18,0,0.0,0
E1,2024-03-19,0,0.0,0
E1,2024-03-20,0,0.0,0
E1,2024-03-21,0,0.0,0
E1,2024-03-22,1,-249.28119165469457,0
E1,2024-03-23,0,0.0,0
E1,2024-03-24,0,0.0,0
E1,2024-03-25,0,0.0,0
E1,2024-03-26,0,0.0,0
E1,2024-03-27,1,-178.6218735901843,0
E1,2024-03-28,3,3482.07168161871,3
E2,2024-03-11,0,0.0,0
E2,2024-03-12,1,185.35637934519312,1
E2,2024-03-13,0,0.0,0
E2,2024-03-14,1,-473.084534623331,0
E2,2024-03-15,1,795.5867248410563,1
E2,2024-03-16,1,-72.44209995802582,0
E2,2024-03-17,0,0.0,0
E2,2024-03-18,0,0.0,0
E2,2024-03-19,0,0.0,0
E2,2024-03-20,0,0.0,0
E2,2024-03-21,0,0.0,0
E2,2024-03-22,1,-249.28119165469457,0
E2,2024-03-23,0,0.0,0
E2,2024-03-24,0,0.0,0
E2,2024-03-25,0,0.0,0
E2,2024-03-26,0,0.0,0
E2,2024-03-27,1,-178.6218735901843,0
E2,2024-03-28,3,3482.07168161871,3
E3,2024-03-11,0,0.0,0
E3,2024-03-12,1,185.35637934519312,1
E3,2024-03-13,0,0.0,0
E3,2024-03-14,1,-473.084534623331,0
E3,2024-03-15,1,795.5867248410563,1
E3,2024-03-16,1,-72.44209995802582,0
E3,2024-03-17,0,0.0,0
E3,2024-03-18,0,0.0,0
E3,2024-03-19,0,0.0,0
E3,2024-03-20,0,0.0,0
E3,2024-03-21,0,0.0,0
E3,2024-03-22,1,-249.28119165469457,0
E3,2024-03-23,0,0.0,0
E3,2024-03-24,0,0.0,0
E3,2024-03-25,0,0.0,0
E3,2024-03-26,0,0.0,0
E3,2024-03-27,1,-178.6218735901843,0
E3,2024-03-28,3,3482.07168161871,3
F1,2024-03-11,0,0.0,0
F1,2024-03-12,1,185.35637934519312,1
F1,2024-03-13,0,0.0,0
F1,2024-03-14,1,-473.084534623331,0
F1,2024-03-15,1,795.5867248410563,1
F1,2024-03-16,1,-72.44209995802582,0
F1,2024-03-17,0,0.0,0
F1,2024-03-18,0,0.0,0
F1,2024-03-19,0,0.0,0
F1,2024-03-20,0,0.0,0
F1,2024-03-21,0,0.0,0
F1,2024-03-22,1,-249.28119165469457,0
F1,2024-03-23,0,0.0,0
F1,2024-03-24,0,0.0,0
F1,2024-03-25,0,0.0,0
F1,2024-03-26,0,0.0,0
F1,2024-03-27,1,-178.6218735901843,0
F1,2024-03-28,3,3482.07168161871,3
