ts,setup,bounded_probe,probe_depth,reclaim,shape,no_lower_acceptance,aggression_failure,buyer_response,participation,spread_ok,delta_pct_rank,l1_bid_support,qualified,day,no_higher_acceptance,seller_response,l1_ask_support
1711273800000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.6,,False,2024-03-24,True,True,False
1711274100000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,False,False,True,0.016666666666666666,False,False,2024-03-24,,,
1711274100000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.016666666666666666,,False,2024-03-24,True,True,False
1711274400000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,False,False,True,0.3333333333333333,False,False,2024-03-24,,,
1711274400000,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,False,True,0.3333333333333333,,False,2024-03-24,True,True,False
1711274700000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.7166666666666667,False,False,2024-03-24,,,
1711274700000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.7166666666666667,,False,2024-03-24,True,True,False
1711275000000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.7666666666666667,False,False,2024-03-24,,,
1711275000000,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,False,True,0.7666666666666667,,False,2024-03-24,True,False,False
1711275300000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.7,False,False,2024-03-24,,,
1711275300000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.7,,False,2024-03-24,True,False,False
1711275600000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,0.7833333333333333,False,False,2024-03-24,,,
1711275600000,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,0.7833333333333333,,False,2024-03-24,True,False,False
1711275900000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.8333333333333334,False,False,2024-03-24,,,
1711275900000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.8333333333333334,,False,2024-03-24,True,False,False
1711276200000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.21666666666666667,False,False,2024-03-24,,,
1711276200000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.21666666666666667,,False,2024-03-24,True,True,False
1711276500000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,False,False,True,0.13333333333333333,False,False,2024-03-24,,,
1711276500000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.13333333333333333,,False,2024-03-24,True,True,False
1711276800000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,0.9166666666666666,False,False,2024-03-24,,,
1711276800000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,True,True,0.9166666666666666,,False,2024-03-24,True,True,False
1711277100000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,0.95,False,False,2024-03-24,,,
1711277100000,VAH_REJECTION_SHORT,False,0.0,True,True,,True,,True,True,0.95,,False,2024-03-24,True,False,False
1711277400000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,0.4166666666666667,False,False,2024-03-24,,,
1711277400000,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,True,True,0.4166666666666667,,False,2024-03-24,True,False,False
1711277700000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.2833333333333333,False,False,2024-03-24,,,
1711277700000,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,0.2833333333333333,,False,2024-03-24,True,True,False
1711278000000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,False,False,True,0.3,False,False,2024-03-24,,,
1711278000000,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,0.3,,False,2024-03-24,True,True,False
1711278300000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,False,False,True,0.06666666666666667,False,False,2024-03-24,,,
1711278300000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.06666666666666667,,False,2024-03-24,True,True,False
1711278600000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.9333333333333333,False,False,2024-03-24,,,
1711278600000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.9333333333333333,,False,2024-03-24,True,True,False
1711278900000,VAL_REJECTION_LONG,False,0.0,True,False,True,True,True,False,True,0.75,False,False,2024-03-24,,,
1711278900000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.75,,False,2024-03-24,True,True,False
1711279200000,VAL_REJECTION_LONG,False,0.0,True,False,True,True,True,False,True,0.03333333333333333,False,False,2024-03-24,,,
1711279200000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.03333333333333333,,False,2024-03-24,True,True,False
1711279500000,VAL_REJECTION_LONG,False,0.0,True,False,True,True,False,False,True,0.31666666666666665,False,False,2024-03-24,,,
1711279500000,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,0.31666666666666665,,False,2024-03-24,True,True,False
1711279800000,VAL_REJECTION_LONG,False,0.0,True,False,True,True,False,False,True,0.05,False,False,2024-03-24,,,
1711279800000,VAH_REJECTION_SHORT,False,0.0,True,True,,False,,False,True,0.05,,False,2024-03-24,True,True,False
1711280100000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,False,True,0.6833333333333333,False,False,2024-03-24,,,
1711280100000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.6833333333333333,,False,2024-03-24,True,True,False
1711280400000,VAL_REJECTION_LONG,False,0.0,True,True,True,True,False,False,True,0.18333333333333332,False,False,2024-03-24,,,
1711280400000,VAH_REJECTION_SHORT,False,0.0,True,False,,False,,False,True,0.18333333333333332,,False,2024-03-24,True,True,False
1711280700000,VAL_REJECTION_LONG,False,0.0,True,False,True,False,True,True,True,0.9666666666666667,False,False,2024-03-24,,,
1711280700000,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,0.9666666666666667,,False,2024-03-24,True,False,False
1711281000000,VAL_REJECTION_LONG,False,0.0,True,True,True,True,True,True,True,0.3,False,False,2024-03-24,,,
1711281000000,VAH_REJECTION_SHORT,False,0.0,True,False,,True,,True,True,0.3,,False,2024-03-24,True,True,False
1711281300000,VAL_REJECTION_LONG,False,0.0,True,True,True,False,True,True,True,0.9333333333333333,False,False,2024-03-24,,,
